French,English
chercher,search
seulement,only
police,police
aide,help
demande,request
genre,kind
laisser,let
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
heures,hours
revoir,meet again
aucune,any
place,square
parle,speak
attention,Warning
voici,here is
type,type
leurs,their
endroit,place
yeux,eyes
écoute,listen
trouve,find
première,first
côté,side
enfant,child
pardon,sorry
venez,come
vers,towards
demandé,request
belle,beautiful
droit,law
aimerais,would like to
espère,hope
attendez,Wait
dirait,would say
terre,Earth
croire,believe
chérie,sweetheart
plutôt,rather
